Designator,Mid X,Mid Y,Rotation,Layer
C1,183.388,-104.14,90.0,top
C10,168.848054,-77.769117,270.0,top
C11,159.955931,-75.50241,180.0,top
C12,160.997485,-87.864565,270.0,top
C13,166.37,-90.424,0.0,top
C14,188.214,-97.028,180.0,top
C15,157.296001,-100.33,180.0,top
C16,161.614,-91.891,0.0,top
C17,163.773,-103.124,90.0,top
C18,168.656,-102.616,90.0,top
C19,160.298719,-82.804,270.0,top
C2,174.752,-93.218,180.0,top
C3,179.714026,-104.732969,180.0,top
C4,181.869287,-104.732969,180.0,top
C5,183.896,-94.742,0.0,top
C6,172.974,-100.33,270.0,top
C7,168.802954,-93.704048,270.0,top
C8,179.465851,-91.932707,270.0,top
C9,171.45,-91.44,0.0,top
D1,186.436,-102.108,90.0,top
D2,157.089283,-96.269743,270.0,top
J1,176.149,-89.764,180.0,top
J3,194.056,-86.868,90.0,top
J4,152.050921,-86.344891,90.0,top
J5,152.062164,-95.973387,90.0,top
L1,159.201,-104.083,0.0,top
R1,176.784,-91.44,0.0,top
R10,194.564,-92.71,0.0,top
R11,166.116,-97.282,180.0,top
R12,166.116,-98.298,0.0,top
R13,157.250719,-79.756,270.0,top
R14,158.774719,-79.756,270.0,top
R15,158.774719,-82.804,270.0,top
R2,178.308,-91.948,90.0,top
R3,180.594,-91.948,90.0,top
R4,183.274695,-91.412882,180.0,top
R5,172.974,-96.52,270.0,top
R6,174.752,-92.202,180.0,top
R7,186.436,-99.568,270.0,top
R8,157.250719,-82.804,270.0,top
R9,188.700416,-84.612241,90.0,top
U1,178.816,-98.806,270.0,top
U2,164.592,-77.724,90.0,top
U3,188.976,-94.488,90.0,top
U4,165.608,-85.09,90.0,top
U5,161.798,-96.936,90.0,top
Y1,171.45,-93.726,0.0,top
